Transaction_ID,User_ID,Customer_Name,Gender,Age,Occupation,City,Transaction_Date,Month,Year,Expense_Category,Merchant,Expense_Amount,Monthly_Income,Budget_Allocated,Estimated_Savings,Expense_to_Income_Percent,Payment_Method,Transaction_Status,Recurring_Expense,Credit_Score,User_Rating,Budget_Risk_Level
43,USR100043,Yutika Bhagat,Male,28.0,Doctor,Bengaluru,2024-09-08,September,2024.0,Transport,Metro,5447.0,44439.0,36600.59,33082.0,12.26,Credit Card,Completed,No,753.0,3.8,Low
44,USR100044,Manya Rao,Male,39.0,Sales Executive,Pune,2025-05-25,May,2024.0,Food,Swiggy,7524.0,151072.0,83066.98,134176.0,4.98,Debit Card,Completed,Yes,626.0,3.1,Low
45,USR100029,Meera Chawla,Male,49.0,Analyst,Pune,2024-02-11,April,2025.0,Transport,Uber,4922.0,46666.0,33188.14,47297.0,13.37,Credit Card,Completed,Yes,626.0,4.2,Low
46,USR100046,Pratyush Soman,Female,39.0,Software Engineer,Hyderabad,2024-02-11,June,2025.0,Food,Udemy,858.0,82157.0,43650.53,75229.0,1.04,UPI,Completed,Yes,806.0,3.6,Low
47,USR100047,Ekalinga Joshi,Male,32.0,Teacher,Hyderabad,2024-02-11,August,2025.0,Insurance,HDFC Ergo,101.0,150877.0,71205.1,140128.0,0.07,Net Banking,Completed,Yes,604.0,4.9,Low
48,USR100048,Nicholas Choudhary,Female,26.0,Analyst,Coimbatore,2023-01-03,January,2023.0,Entertainment,PVR,4922.0,27912.0,36600.59,24469.0,2.85,Wallet,Completed,Yes,388.0,4.4,Low
50,USR100050,Matthew Yadav,Male,34.0,Student,Coimbatore,2024-02-11,February,2023.0,Food,Zomato,4922.0,79023.0,50961.54,47297.0,7.43,Debit Card,Completed,Yes,626.0,3.1,Low
52,USR100052,Sarthak Puri,Male,49.0,Teacher,Chennai,2026-07-01,July,2026.0,Utilities,Swiggy,6329.0,60039.0,24292.36,23776.0,18.68,Wallet,Completed,Yes,626.0,2.9,Low
53,USR100053,Zayyan Palan,Male,23.0,Teacher,Pune,2024-01-13,January,2024.0,Transport,Metro,1262.0,57445.0,33008.79,53198.0,2.2,Credit Card,Completed,No,671.0,3.0,Low
54,USR100054,Urvi Das,Male,35.0,Teacher,Pune,2024-11-10,June,2024.0,Food,Restaurant,6042.0,60039.0,45554.64,66663.0,7.47,Cash,Completed,No,352.0,4.9,Low
55,USR100055,Vinaya Shukla,Male,41.0,Designer,Mumbai,2025-06-04,June,2025.0,Insurance,LIC,3214.0,26596.0,14813.67,16325.0,12.08,Debit Card,Completed,Yes,834.0,3.4,Low
56,USR100056,Veda Muni,Male,34.0,Student,Pune,2023-03-25,March,2023.0,Healthcare,Swiggy,6750.0,57248.0,36502.61,41867.0,11.79,Net Banking,Completed,No,414.0,3.3,Low
57,USR100057,Maanas Chaudry,Male,32.0,Teacher,Kochi,2024-07-18,July,2024.0,Insurance,LIC,2247.0,44744.0,30154.39,35312.0,5.02,Wallet,Completed,Yes,626.0,4.9,Low
58,USR100058,Alka Srinivas,Male,39.0,Student,Pune,2024-01-10,January,2024.0,Education,Coursera,6774.0,150166.0,36600.59,133257.0,4.51,Debit Card,Completed,Yes,660.0,3.7,Low
59,USR100059,Zaitra Bajaj,Female,28.0,Business Owner,Bengaluru,2025-04-15,April,2025.0,Food,Swiggy,3308.0,151880.0,102650.48,142521.0,7.44,Wallet,Completed,Yes,843.0,3.2,Low
60,USR100060,Janaki Din,Male,36.0,Analyst,Delhi,2024-04-24,April,2024.0,Food,Swiggy,5914.0,23706.0,17581.2,47297.0,24.95,Net Banking,Completed,Yes,590.0,3.2,Medium
61,USR100061,Chanchal Chand,Female,33.0,Student,Bengaluru,2024-07-30,July,2024.0,Transport,Uber,1621.0,44132.0,23107.61,37999.0,3.67,Wallet,Completed,Yes,755.0,3.7,Low
62,USR100062,Zarna Peri,Male,56.0,Student,Bengaluru,2023-03-24,March,2023.0,Food,Swiggy,6985.0,22838.0,36600.59,7728.0,30.58,Debit Card,Completed,No,401.0,3.8,Medium
63,USR100063,Ishani Kapoor,Female,39.0,Teacher,Mumbai,2026-06-23,June,2024.0,Shopping,Reliance,7847.0,35679.0,16123.41,16065.0,21.99,Debit Card,Completed,No,626.0,2.6,Medium
64,USR100064,Udant Hayer,Female,53.0,Teacher,Bengaluru,2024-01-15,January,2024.0,Travel,Swiggy,12223.0,60039.0,58608.82,82024.0,11.94,Cash,Completed,No,382.0,2.8,Low
65,USR100029,Nandini Karan,Female,39.0,Software Engineer,Delhi,2025-03-25,March,2025.0,Shopping,Reliance,4474.0,62439.0,29804.99,47297.0,7.17,Wallet,Completed,Yes,640.0,3.9,Low
66,USR100066,Zarna Tailor,Female,45.0,Teacher,Bengaluru,2024-02-22,February,2024.0,Utilities,Airtel,5379.0,45392.0,23111.81,31378.0,11.85,Cash,Pending,Yes,794.0,3.9,Low
67,USR100029,Ayush Bala,Male,27.0,Sales Executive,Delhi,2025-03-23,March,2025.0,Education,Swiggy,221.0,45775.0,21308.66,41220.0,0.48,Credit Card,Completed,Yes,729.0,3.8,Low
69,USR100069,Hemangini Sekhon,Male,27.0,Student,Mumbai,2025-11-26,November,2025.0,Education,Udemy,4731.0,148606.0,76597.63,135326.0,3.18,UPI,Completed,Yes,717.0,4.7,Low
70,USR100070,Janya Buch,Male,45.0,Teacher,Pune,2024-02-11,January,2026.0,Food,Zomato,1064.0,152507.0,86463.99,141977.0,0.7,Cash,Completed,No,665.0,3.8,Low
71,USR100071,Harsh Karan,Male,40.0,Business Owner,Pune,2024-01-03,January,2024.0,Food,Zomato,4922.0,32191.0,16757.84,18772.0,12.15,UPI,Completed,No,626.0,4.5,Low
72,USR100072,Ronith Nazareth,Female,59.0,Doctor,Chennai,2025-11-13,November,2025.0,Healthcare,Apollo,5313.0,81179.0,39703.13,68726.0,6.54,UPI,Completed,Yes,626.0,5.0,Low
73,USR100073,Vasudha Agarwal,Male,22.0,Sales Executive,Delhi,2024-02-11,August,2024.0,Education,Swiggy,1178.0,102673.0,76441.94,91437.0,7.44,Credit Card,Pending,Yes,519.0,3.3,Low
74,USR100074,Pratyush Soman,Female,41.0,Software Engineer,Pune,2024-03-02,March,2024.0,Travel,IndiGo,4922.0,79252.0,41706.24,63182.0,7.83,Credit Card,Completed,No,593.0,3.5,Low
75,USR100075,Lipika Iyengar,Female,53.0,Teacher,Delhi,2023-08-24,June,2023.0,Healthcare,Pharmacy,1482.0,99278.0,68267.25,91466.0,1.49,Wallet,Completed,Yes,718.0,4.1,Low
76,USR100029,Pranav Saraf,Female,51.0,Analyst,Delhi,2023-06-16,June,2023.0,Food,Ola,4829.0,60043.0,29652.75,47794.0,8.04,Wallet,Completed,No,399.0,4.9,Low
77,USR100077,Gabriel Randhawa,Female,50.0,Sales Executive,Pune,2024-03-29,March,2024.0,Insurance,HDFC Ergo,6105.0,151799.0,68391.11,143141.0,7.44,Credit Card,Completed,Yes,792.0,3.7,Low
78,USR100029,Pratyush Soman,Female,55.0,Doctor,Mumbai,2023-08-06,August,2023.0,Food,Swiggy,121.0,82350.0,51068.23,75253.0,7.44,Debit Card,Completed,Yes,773.0,4.1,Low
79,USR100079,Onkar Datta,Female,34.0,Software Engineer,Pune,2023-05-11,May,2023.0,Food,Swiggy,5895.0,58299.0,36600.59,47297.0,10.11,Wallet,Completed,Yes,626.0,4.6,Low
80,USR100080,Matthew Shroff,Male,52.0,Software Engineer,Coimbatore,2024-05-23,June,2024.0,Healthcare,Pharmacy,5030.0,46871.0,34269.6,47297.0,7.44,Credit Card,Completed,Yes,626.0,3.1,Low
81,USR100081,Pratyush Soman,Female,57.0,Doctor,Delhi,2025-04-26,April,2025.0,Food,Restaurant,4922.0,22859.0,16739.1,13049.0,23.97,Wallet,Completed,Yes,869.0,3.3,Medium
82,USR100082,Karan Bail,Male,32.0,Teacher,Delhi,2024-02-11,June,2024.0,Food,Udemy,3173.0,60039.0,19646.11,15138.0,11.36,Wallet,Completed,Yes,813.0,4.1,Low
84,USR100084,Radha Hayer,Female,48.0,Software Engineer,Chennai,2026-05-16,May,2026.0,Food,Swiggy,1672.0,148661.0,106151.3,139606.0,1.12,Wallet,Completed,Yes,626.0,4.9,Low
86,USR100086,Pratyush Soman,Male,52.0,Teacher,Coimbatore,2023-04-06,April,2023.0,Food,Restaurant,5292.0,22341.0,10339.28,47297.0,23.69,Wallet,Completed,Yes,722.0,3.1,Low
87,USR100087,Eshana Lad,Female,38.0,Teacher,Coimbatore,2024-02-11,September,2025.0,Food,Restaurant,816.0,32917.0,22960.2,25393.0,2.48,Wallet,Completed,Yes,559.0,2.6,Low
88,USR100088,Pratyush Soman,Female,19.0,Business Owner,Bengaluru,2025-10-28,October,2025.0,Food,Zomato,7557.0,44315.0,24207.0,47297.0,17.05,Wallet,Completed,No,381.0,3.7,Low
89,USR100089,Tara Varughese,Female,36.0,Teacher,Pune,2024-08-11,August,2024.0,Shopping,Reliance,7163.0,26406.0,18440.6,7830.0,27.13,Debit Card,Completed,Yes,626.0,3.7,Medium
90,USR100090,Yachana De,Female,31.0,Student,Kochi,2024-06-17,June,2024.0,Education,Udemy,4151.0,62695.0,39357.82,48104.0,7.44,Credit Card,Completed,Yes,512.0,2.8,Low
91,USR100091,Yashvi Bahl,Male,45.0,Software Engineer,Pune,2024-12-29,December,2024.0,Shopping,Swiggy,4697.0,97662.0,67003.94,85614.0,4.81,Credit Card,Completed,Yes,754.0,3.8,Low
92,USR100092,Qadim Agrawal,Male,46.0,Teacher,Hyderabad,2023-09-17,September,2023.0,Shopping,Swiggy,7341.0,61464.0,39289.22,44572.0,7.44,Cash,Completed,Yes,684.0,3.6,Low
93,USR100093,Orinder Dhaliwal,Female,33.0,Sales Executive,Pune,2025-11-05,November,2025.0,Shopping,Amazon,2836.0,149107.0,87765.18,140373.0,1.9,Credit Card,Completed,Yes,508.0,3.1,Low
94,USR100094,Jai Bhatia,Female,37.0,Business Owner,Pune,2024-02-11,February,2024.0,Insurance,Swiggy,1448.0,34119.0,25204.24,29006.0,7.44,Credit Card,Completed,Yes,501.0,2.8,Low
95,USR100095,Zarna Wali,Female,19.0,Doctor,Delhi,2025-06-13,June,2025.0,Transport,Ola,3900.0,24300.0,11182.36,11863.0,16.05,Net Banking,Completed,Yes,626.0,4.3,Low
97,USR100097,Rayaan Malhotra,Male,59.0,Sales Executive,Chennai,2025-07-21,July,2025.0,Education,Udemy,2148.0,58985.0,36600.59,46928.0,3.64,Wallet,Completed,Yes,769.0,4.6,Low
98,USR100098,Guneet Tripathi,Male,39.0,Software Engineer,Pune,2024-02-11,November,2025.0,Transport,Uber,1417.0,22312.0,14834.46,15622.0,6.35,Net Banking,Completed,Yes,626.0,3.4,Low
99,USR100099,Ayaan Bhatnagar,Female,42.0,Business Owner,Chennai,2024-02-11,June,2026.0,Transport,Metro,1605.0,100743.0,57196.63,95133.0,1.59,Wallet,Completed,Yes,608.0,3.8,Low
100,USR100100,Eshana Tiwari,Male,43.0,Designer,Pune,2024-09-13,September,2024.0,Healthcare,Pharmacy,4852.0,62149.0,32910.83,51620.0,7.81,Wallet,Completed,No,889.0,2.8,Low
101,USR100101,Aradhana Sethi,Female,36.0,Doctor,Kochi,2024-02-11,October,2023.0,Education,Udemy,3943.0,147564.0,36600.59,47297.0,2.67,Debit Card,Completed,Yes,773.0,4.5,Low
102,USR100102,Yashica Kota,Female,48.0,Designer,Coimbatore,2023-01-06,June,2024.0,Food,PVR,3590.0,34190.0,22348.14,20710.0,10.5,Net Banking,Completed,No,659.0,4.1,Low
103,USR100103,Samaksh Sem,Female,58.0,Software Engineer,Chennai,2026-03-02,March,2026.0,Food,Zomato,4922.0,60039.0,56535.79,89473.0,7.1,Credit Card,Completed,No,626.0,4.9,Low
104,USR100104,Omaja Dara,Female,43.0,Teacher,Bengaluru,2024-01-16,January,2024.0,Transport,Uber,4838.0,99400.0,48986.28,88735.0,4.87,Wallet,Completed,No,506.0,4.8,Low
106,USR100106,Wridesh Sangha,Female,54.0,Teacher,Delhi,2024-02-11,December,2023.0,Shopping,Amazon,5837.0,77478.0,46286.26,61479.0,7.53,Cash,Completed,Yes,678.0,3.4,Low
107,USR100107,Simon Mitter,Male,50.0,Designer,Kochi,2023-02-12,June,2023.0,Food,Restaurant,3052.0,62537.0,40076.08,57018.0,4.88,Credit Card,Completed,Yes,688.0,2.6,Low
108,USR100108,Mohammed Pau,Female,45.0,Sales Executive,Coimbatore,2024-02-11,November,2024.0,Healthcare,Pharmacy,873.0,100404.0,71136.94,91532.0,0.87,Debit Card,Completed,No,626.0,3.8,Low
109,USR100109,Pratyush Soman,Female,25.0,Sales Executive,Pune,2024-02-11,June,2025.0,Rent,Swiggy,4922.0,149368.0,82169.81,124688.0,12.2,Debit Card,Completed,Yes,558.0,4.3,Low
110,USR100110,Theodore Chandra,Female,37.0,Teacher,Chennai,2026-02-09,February,2026.0,Insurance,LIC,6524.0,36804.0,27564.31,21745.0,17.73,UPI,Completed,Yes,626.0,3.0,Low
111,USR100111,Pratyush Soman,Male,20.0,Designer,Hyderabad,2026-06-06,June,2024.0,Entertainment,Netflix,6563.0,61986.0,37207.27,44516.0,10.59,Wallet,Completed,No,434.0,4.2,Low
112,USR100112,Neel Sankar,Female,53.0,Analyst,Delhi,2025-01-25,June,2025.0,Utilities,TNEB,4922.0,147302.0,107405.83,137495.0,5.15,Credit Card,Completed,Yes,492.0,3.6,Low
113,USR100029,Pratyush Soman,Female,39.0,Teacher,Kochi,2025-10-16,October,2025.0,Utilities,Swiggy,4837.0,42167.0,30788.55,34436.0,11.47,UPI,Completed,Yes,390.0,2.5,Low
114,USR100114,Ishanvi Nagar,Male,39.0,Teacher,Coimbatore,2026-01-28,January,2024.0,Shopping,Reliance,1372.0,61864.0,36662.74,51735.0,7.44,UPI,Completed,Yes,833.0,2.5,Low
115,USR100115,Jasmit Bahl,Female,29.0,Software Engineer,Pune,2025-08-25,August,2025.0,Insurance,LIC,4922.0,97996.0,69661.9,91996.0,1.93,Wallet,Completed,Yes,598.0,4.3,Low
116,USR100116,Tara Sastry,Female,39.0,Software Engineer,Chennai,2025-08-01,August,2025.0,Entertainment,Swiggy,2501.0,148186.0,94629.65,135525.0,7.44,Wallet,Completed,No,403.0,4.2,Low
118,USR100118,Yauvani Bhatt,Female,39.0,Software Engineer,Pune,2024-07-11,July,2024.0,Healthcare,Pharmacy,4922.0,60039.0,55634.72,84919.0,7.44,Net Banking,Completed,No,626.0,4.6,Low
119,USR100119,Veer Cheema,Female,36.0,Software Engineer,Pune,2026-05-17,May,2026.0,Insurance,LIC,3185.0,80510.0,45585.33,69162.0,7.44,Debit Card,Completed,Yes,589.0,3.2,Low
120,USR100029,Alka Magar,Female,52.0,Teacher,Kochi,2023-10-29,October,2023.0,Insurance,LIC,2463.0,36805.0,36600.59,22972.0,6.69,Wallet,Completed,Yes,861.0,3.0,Low
121,USR100121,Pratyush Madan,Male,42.0,Designer,Pune,2025-08-10,August,2025.0,Insurance,LIC,2635.0,60039.0,96653.53,141802.0,1.72,Net Banking,Completed,Yes,610.0,4.5,Low
122,USR100122,Pratyush Soman,Female,31.0,Student,Bengaluru,2024-02-11,October,2024.0,Food,Metro,4368.0,147513.0,106073.46,132595.0,2.96,Wallet,Completed,Yes,556.0,4.5,Low
123,USR100123,Manthan Yadav,Female,24.0,Sales Executive,Kochi,2024-05-19,May,2024.0,Shopping,Flipkart,3397.0,44972.0,30755.97,47297.0,7.55,UPI,Completed,Yes,855.0,2.9,Low
124,USR100124,Pratyush Soman,Female,39.0,Business Owner,Bengaluru,2024-02-11,June,2025.0,Food,Swiggy,8082.0,60039.0,36600.59,47297.0,7.44,Cash,Completed,Yes,568.0,4.4,Low
125,USR100125,Dakshesh Goswami,Male,20.0,Sales Executive,Pune,2024-01-06,January,2024.0,Food,HDFC Ergo,7011.0,151986.0,70120.44,47297.0,4.61,Cash,Completed,Yes,378.0,3.8,Low
126,USR100126,Elijah Luthra,Female,29.0,Designer,Hyderabad,2024-10-14,October,2024.0,Healthcare,Apollo,5886.0,26899.0,19845.79,14800.0,21.88,Debit Card,Completed,Yes,868.0,4.9,Medium
127,USR100127,Gaurang Lad,Female,21.0,Teacher,Hyderabad,2023-02-26,February,2023.0,Food,Zomato,7810.0,60039.0,54902.49,79949.0,7.9,Debit Card,Completed,Yes,875.0,3.8,Low
128,USR100128,Tristan Bhavsar,Female,48.0,Business Owner,Hyderabad,2024-10-25,October,2024.0,Food,PVR,6308.0,37545.0,24244.86,21525.0,16.8,Cash,Completed,No,477.0,3.8,Low
129,USR100129,Jairaj Setty,Male,46.0,Teacher,Coimbatore,2024-03-27,March,2024.0,Travel,IndiGo,7893.0,37551.0,36600.59,25087.0,21.02,Wallet,Completed,Yes,732.0,4.1,Medium
131,USR100131,Kai Bassi,Female,48.0,Teacher,Hyderabad,2023-12-10,December,2023.0,Food,Zomato,4777.0,59021.0,41425.01,46764.0,7.44,Wallet,Completed,No,675.0,2.6,Low
132,USR100132,Imaran Edwin,Female,33.0,Student,Bengaluru,2024-02-17,February,2024.0,Insurance,Swiggy,6942.0,152474.0,81706.23,47297.0,4.55,Cash,Pending,Yes,792.0,3.2,Low
133,USR100133,Chandresh Golla,Male,39.0,Analyst,Hyderabad,2024-02-11,June,2025.0,Travel,IndiGo,6230.0,32470.0,24144.35,23978.0,19.19,Debit Card,Completed,No,803.0,3.8,Low
134,USR100134,Pratyush Soman,Male,56.0,Designer,Delhi,2024-04-16,April,2024.0,Transport,Uber,1231.0,58788.0,41328.64,47011.0,7.44,Credit Card,Completed,Yes,431.0,3.8,Low
135,USR100029,Bimala Sehgal,Female,39.0,Analyst,Kochi,2023-05-15,May,2023.0,Entertainment,Swiggy,4875.0,82487.0,36600.59,75448.0,5.91,UPI,Completed,No,406.0,2.5,Low
136,USR100136,Anika Palan,Female,40.0,Designer,Bengaluru,2024-02-11,January,2025.0,Food,Swiggy,2281.0,150904.0,79149.45,137397.0,1.51,UPI,Completed,Yes,730.0,3.4,Low
137,USR100137,Zashil Bansal,Female,50.0,Software Engineer,Hyderabad,2024-08-20,August,2024.0,Education,Coursera,4821.0,34629.0,23388.25,26806.0,13.92,UPI,Completed,Yes,856.0,3.1,Low
138,USR100138,Andrew Tiwari,Female,19.0,Designer,Mumbai,2023-03-03,March,2023.0,Shopping,Amazon,941.0,60039.0,12954.45,11792.0,3.95,Wallet,Completed,Yes,549.0,3.6,Low
139,USR100139,Yoshita Soman,Female,26.0,Student,Mumbai,2024-02-11,April,2026.0,Entertainment,Netflix,2336.0,42769.0,20824.86,30346.0,5.46,Credit Card,Completed,Yes,474.0,4.2,Low
140,USR100140,Sanya Cherian,Female,39.0,Business Owner,Mumbai,2026-05-07,May,2026.0,Food,Swiggy,7780.0,60249.0,38589.33,47297.0,7.44,Debit Card,Completed,Yes,626.0,4.3,Low
141,USR100141,Warda Ramaswamy,Female,33.0,Business Owner,Pune,2023-04-20,April,2023.0,Education,Coursera,6776.0,60039.0,86452.04,133655.0,4.47,Debit Card,Completed,Yes,500.0,2.8,Low
144,USR100144,Idika Bhagat,Female,39.0,Teacher,Hyderabad,2024-07-03,July,2024.0,Food,Swiggy,4968.0,47304.0,34897.32,31919.0,10.5,Debit Card,Completed,Yes,896.0,3.8,Low
145,USR100145,Akshay Bobal,Female,47.0,Analyst,Kochi,2025-07-19,June,2025.0,Transport,Swiggy,4922.0,79361.0,53340.2,47297.0,7.44,Wallet,Completed,Yes,556.0,4.5,Low
147,USR100147,Frado Raj,Female,46.0,Sales Executive,Bengaluru,2024-02-11,December,2024.0,Food,Swiggy,1398.0,60039.0,36600.59,21095.0,7.44,Net Banking,Completed,Yes,626.0,3.8,Low
148,USR100148,Xavier Memon,Female,48.0,Analyst,Hyderabad,2026-06-16,June,2026.0,Utilities,Swiggy,2987.0,98265.0,48356.03,89961.0,3.04,Wallet,Completed,Yes,633.0,3.8,Low
149,USR100149,Tripti Goyal,Male,42.0,Designer,Kochi,2023-11-03,November,2023.0,Entertainment,Swiggy,4178.0,25362.0,14437.27,9814.0,16.47,Debit Card,Completed,Yes,626.0,4.3,Low
